policy_file,category,deployed_name,graph_shape,workbook_row,workbook_policy_name,platform,cis_level,source,control_domain,nist_800_53_r5,iso_27001_2022,auditor_rationale,mapping_status,match_method,match_note
Baseline - Block add MSA accounts and non-MSA accounts,05_Tenant_and_Account_Access_Control,Baseline - Block add MSA accounts and non-MSA accounts,settings_catalog_policy,86,Baseline - Block add MSA accounts and non-MSA accounts,Windows 11,L1,Modern Workplace,Identity & Account Control,"AC-2, IA-8","5.16, 8.5",Blocks personal Microsoft accounts and non-Microsoft accounts at OS level — prevents users signing into Edge or apps with personal credentials. Deploy as-is. ⚠ Import via: Devices > Configuration (Settings Catalog),mapped,exact,
Baseline - One Drive management settings,05_Tenant_and_Account_Access_Control,Baseline - One Drive management settings,settings_catalog_policy,87,Baseline - One Drive management settings,Windows 11,L2,Modern Workplace,Identity & Account Control,"AC-2, AC-3","5.15, 8.3",Restricts OneDrive to org tenant only via allowtenantlist — prevents personal OneDrive sign-in. Also includes mass delete protection and auto-mount of Teams sites. ⚠ REQUIRES CUSTOMISATION: Add customer Entra Tenant ID to allowtenantlist before deploying. ⚠ Import via: Devices > Configuration (Settings Catalog),mapped,exact,
Baseline - Teams - Restrict sign in to Teams to accounts in specific tenants,05_Tenant_and_Account_Access_Control,Baseline - Teams - Restrict sign in to Teams to accounts in specific tenants,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
Baseline - Bitlocker Policy,06_Data_Encryption,Baseline - Bitlocker Policy,endpoint_security_intent,22,Baseline - Bitlocker Policy,Windows 11,L1,Endpoint Security,Encryption at Rest,"SC-28, MP-5",8.24,"ENFORCES BitLocker on OS drive (XTS-AES 256), fixed drives, and requires BitLocker To Go on USB drives before write access is granted. Recovery keys escrowed to Entra ID. Silent deployment — no user prompt. ⚠ Import via: Endpoint Security > Disk Encryption (not Settings Catalog)",mapped,exact,
Baseline - Linux - Device Encryption,06_Data_Encryption,Baseline - Linux - Device Encryption,compliance_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
Baseline - Personal Data Encryption,06_Data_Encryption,Baseline - Personal Data Encryption,settings_catalog_policy,98,Baseline - Personal Data Encryption,Windows 11,L2,Endpoint Security,Encryption at Rest,"SC-28, MP-5",8.24,File-level encryption tied to Windows Hello sign-in - complements rather than conflicts with BitLocker. Roll out alongside WHFB.,mapped,exact,
CISv4 - Choose how BitLocker-protected  operating system drives can be recovered  Require 48-digit recovery password,06_Data_Encryption,CISv4 - Choose how BitLocker-protected  operating system drives can be recovered  Require 48-digit recovery password,settings_catalog_policy,23,CISv4 - Choose how BitLocker-protected  operating system drives can be recovered  Require 48-digit recovery password,Windows 11,L1,CIS,Encryption at Rest,SC-28,8.24,Configures 48-digit recovery password requirement — complements the BitLocker enforcement policy above,mapped,exact,
Baseline - SSL Cipher Suite Order,07_Firewall_and_Network_Security,Baseline - SSL Cipher Suite Order,settings_catalog_policy,184,Baseline - SSL Cipher Suite Order,Windows 11,L1,Modern Workplace,Network Security,"SC-8, SC-13",8.24,Straightforward network-hardening win.,mapped,exact,
Baseline - Windows - Firewall,07_Firewall_and_Network_Security,Baseline - Windows - Firewall,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
Baseline - Device Control,08_Removable_Media_and_Device_Control,Baseline - Device Control,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
CISv4 - WIN - L1 - Disallow Autoplay for non-volume devices,08_Removable_Media_and_Device_Control,CISv4 - WIN - L1 - Disallow Autoplay for non-volume devices,settings_catalog_policy,50,CISv4 - WIN - L1 - Disallow Autoplay for non-volume devices,Windows 11,L1,CIS,Removable Media & USB,"MP-7, CM-7",8.9,Extends autoplay block to non-volume devices like phones — closes MP-7 gap,mapped,exact,
CISv4 - WIN - L1 - Turn off Autoplay,08_Removable_Media_and_Device_Control,CISv4 - WIN - L1 - Turn off Autoplay,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
CISv4 - WIN - L1 - Allow Auto Update,09_Patch_Management,CISv4 - WIN - L1 - Allow Auto Update,settings_catalog_policy,51,CISv4 - WIN - L1 - Allow Auto Update,Windows 11,L1,CIS,Patch Management,SI-2,8.8,Automatic updates is the primary SI-2 flaw remediation evidence on endpoints,mapped,exact,
CISv4 - WIN - L1 - Defer Feature Updates Period in Days,09_Patch_Management,CISv4 - WIN - L1 - Defer Feature Updates Period in Days,settings_catalog_policy,54,CISv4 - WIN - L1 - Defer Feature Updates Period in Days,Windows 11,L1,CIS,Patch Management,SI-2,8.8,Controlled deferral of Feature Updates — complements Quality Updates deferral for a complete managed update posture,mapped,exact,
CISv4 - WIN - L1 - Manage preview builds,09_Patch_Management,CISv4 - WIN - L1 - Manage preview builds,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
CISv4 - WIN - L1 - Pause Updates,09_Patch_Management,CISv4 - WIN - L1 - Pause Updates,settings_catalog_policy,53,CISv4 - WIN - L1 - Pause Updates,Windows 11,L1,CIS,Patch Management,SI-2,8.8,Prevents users from pausing Windows Updates — without this users can bypass update compliance for up to 5 weeks,mapped,exact,
CISv4 - WIN - L1 - Scheduled Install Day,09_Patch_Management,CISv4 - WIN - L1 - Scheduled Install Day,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
Baseline - Disable Xbox services,10_Privacy_and_AI_Data_Governance,Baseline - Disable Xbox services,settings_catalog_policy,190,Baseline - Disable Xbox services,Windows 11,L1,Modern Workplace,Attack Surface Reduction (ASR),CM-7,8.9,Least-functionality win - no legitimate business use case on managed endpoints.,mapped,exact,
Baseline - Windows AI -  Turn Off Copilot in Windows (User),10_Privacy_and_AI_Data_Governance,Baseline - Windows AI -  Turn Off Copilot in Windows (User),settings_catalog_policy,106,Baseline - Windows AI - Turn Off Copilot in Windows (User),Windows 11,L1,Windows AI / Modern Workplace,AI & Data Governance,CM-7,8.9,Cross-listed in both Windows AI and Modern Workplace source folders. Default-restrictive with per-customer override.,mapped,whitespace,
Baseline - Windows AI - Block Microsoft Recall,10_Privacy_and_AI_Data_Governance,Baseline - Windows AI - Block Microsoft Recall,settings_catalog_policy,105,Baseline - Windows AI - Block Microsoft Recall,Windows 11,L1,Windows AI,AI & Data Governance,"SI-3, CM-7",8.9,High auditor/privacy visibility given Recall's screenshot-history model. Two near-identical exports exist upstream - the shorter filename is the one packaged here; confirm before deploying.,mapped,exact,
Baseline - Windows AI - Copilot access to Microsoft Edge page content for Entra account,10_Privacy_and_AI_Data_Governance,Baseline - Windows AI - Copilot access to Microsoft Edge page content for Entra account,settings_catalog_policy,108,Baseline - Windows AI - Copilot access to Microsoft Edge page content for Entra account,Edge,L2,Windows AI,AI & Data Governance,"AC-4, CM-7",8.9,Governs whether Copilot can read page content tied to a work identity - key DLP control as Copilot rolls out.,mapped,exact,
Baseline - Windows AI - Disable Click To Do,10_Privacy_and_AI_Data_Governance,Baseline - Windows AI - Disable Click To Do,settings_catalog_policy,107,Baseline - Windows AI - Disable Click To Do,Windows 11,L2,Windows AI,AI & Data Governance,"SI-3, CM-7",8.9,Recall-adjacent on-screen OCR/action feature - same data-governance rationale as Recall.,mapped,exact,
Baseline - Windows AI - Enable Edge GenAI local foundational model  ,10_Privacy_and_AI_Data_Governance,Baseline - Windows AI - Enable Edge GenAI local foundational model  ,settings_catalog_policy,109,Baseline - Windows AI - Enable Edge GenAI local foundational model,Edge,L2,Browser Benchmarks,AI & Data Governance,CM-7,8.9,"On-device model - data does not leave the endpoint, but the feature is immature. Pilot before wide deployment.",mapped,whitespace,
Baseline - Windows AI - Settings Agent,10_Privacy_and_AI_Data_Governance,Baseline - Windows AI -  Settings Agent,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
CISv4 - WIN - L2 - Disable Advertising ID,10_Privacy_and_AI_Data_Governance,CISv4 - WIN - L2 - Disable Advertising ID,settings_catalog_policy,72,CISv4 - WIN - L2 - Disable Advertising ID,Windows 11,L2,CIS,Privacy & Data Governance,CM-7,8.9,"Kills the per-user advertising identifier — no functional impact, strong privacy compliance signal for ISO 8.9",mapped,exact,
CISv4 - WIN - L2 - Upload User Activities,10_Privacy_and_AI_Data_Governance,CISv4 - WIN - L2 - Upload User Activities,settings_catalog_policy,73,CISv4 - WIN - L2 - Upload User Activities,Windows 11,L2,CIS,Privacy & Data Governance,CM-7,8.9,"Disables Windows timeline syncing to Microsoft — invisible to users, prevents personal activity data leaving managed environment",mapped,exact,
CISv3 - EDGE - L1 - Allow Basic authentication for HTTP,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Allow Basic authentication for HTTP,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
CISv3 - EDGE - L1 - Allow Google Cast to connect to Cast devices on all IP addresses,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Allow Google Cast to connect to Cast devices on all IP addresses,settings_catalog_policy,127,CISv3 - EDGE - L1 - Allow Google Cast to connect to Cast devices on all IP addresses,Edge,L1,CIS,Network Security,SC-7,8.20,Restricted to local subnet rather than any IP.,mapped,exact,
CISv3 - EDGE - L1 - Allow cross-origin HTTP Authentication prompts,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Allow cross-origin HTTP Authentication prompts,settings_catalog_policy,112,CISv3 - EDGE - L1 - Allow cross-origin HTTP Authentication prompts,Edge,L1,CIS,Edge Browser Security,"IA-5, SC-8",8.5,Prevents a classic cross-origin credential-phishing vector.,mapped,exact,
CISv3 - EDGE - L1 - Allow download restrictions,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Allow download restrictions,settings_catalog_policy,113,CISv3 - EDGE - L1 - Allow download restrictions,Edge,L1,CIS,Edge Browser Security,SI-3,8.7,Enables dangerous-file download blocking.,mapped,exact,
CISv3 - EDGE - L1 - Allow import of data from other browsers on each Microsoft Edge launch,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Allow import of data from other browsers on each Microsoft Edge launch,settings_catalog_policy,128,CISv3 - EDGE - L1 - Allow import of data from other browsers on each Microsoft Edge launch,Edge,L1,CIS,Credential Protection,IA-5,8.5,Prevents automatic cross-browser data import on every launch.,mapped,exact,
CISv3 - EDGE - L1 - Allow importing of autofill form data,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Allow importing of autofill form data,settings_catalog_policy,129,CISv3 - EDGE - L1 - Allow importing of autofill form data,Edge,L1,CIS,Credential Protection,IA-5,8.5,Same family as the saved-passwords import control already deployed.,mapped,exact,
CISv3 - EDGE - L1 - Allow importing of browser settings,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Allow importing of browser settings,settings_catalog_policy,130,CISv3 - EDGE - L1 - Allow importing of browser settings,Edge,L1,CIS,Privacy & Data Governance,CM-7,8.9,Limits unmanaged settings drift from personal browser profiles.,mapped,exact,
CISv3 - EDGE - L1 - Allow importing of payment info,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Allow importing of payment info,settings_catalog_policy,131,CISv3 - EDGE - L1 - Allow importing of payment info,Edge,L1,CIS,Privacy & Data Governance,"SC-28, MP-5",8.24,Payment-data-adjacent import control.,mapped,exact,
CISv3 - EDGE - L1 - Allow importing of saved passwords,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Allow importing of saved passwords,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
CISv3 - EDGE - L1 - Allow queries to a Browser Network Time service,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Allow queries to a Browser Network Time service,settings_catalog_policy,143,CISv3 - EDGE - L1 - Allow queries to a Browser Network Time service,Edge,L1,CIS,Network Security,SC-7,8.20,Minor network-beaconing reduction.,mapped,exact,
CISv3 - EDGE - L1 - Allow remote debugging,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Allow remote debugging,settings_catalog_policy,114,CISv3 - EDGE - L1 - Allow remote debugging,Edge,L1,CIS,Edge Browser Security,SI-7,8.7,"Blocks the remote debugging protocol, a known session/credential-theft vector.",mapped,exact,
CISv3 - EDGE - L1 - Allow the audio sandbox to run,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Allow the audio sandbox to run,settings_catalog_policy,137,CISv3 - EDGE - L1 - Allow the audio sandbox to run,Edge,L1,CIS,Malware Protection,SC-3,8.7,Process-isolation hardening for audio handling.,mapped,exact,
CISv3 - EDGE - L1 - Allow websites to query for available payment methods,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Allow websites to query for available payment methods,settings_catalog_policy,132,CISv3 - EDGE - L1 - Allow websites to query for available payment methods,Edge,L1,CIS,Privacy & Data Governance,CM-7,8.9,Reduces fingerprinting/payment-enumeration surface.,mapped,exact,
CISv3 - EDGE - L1 - Blocks external extensions from being installed,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Blocks external extensions from being installed,settings_catalog_policy,76,CISv3 - EDGE - L1 - Blocks external extensions from being installed,Edge,L1,CIS,Edge Browser Security,"CM-7, CM-11",8.9,Prevents unauthorised browser extensions — CM-7/CM-11 software control evidence,mapped,exact,
CISv3 - EDGE - L1 - Clear browsing data when Microsoft Edge closes,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Clear browsing data when Microsoft Edge closes,settings_catalog_policy,144,CISv3 - EDGE - L1 - Clear browsing data when Microsoft Edge closes,Edge,L1,CIS,Privacy & Data Governance,-,-,Pilot first - some business web apps rely on persisted cache/session state.,mapped,exact,
CISv3 - EDGE - L1 - Clear cached images and files when Microsoft Edge closes,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Clear cached images and files when Microsoft Edge closes,settings_catalog_policy,145,CISv3 - EDGE - L1 - Clear cached images and files when Microsoft Edge closes,Edge,L1,CIS,Privacy & Data Governance,-,-,Same functional caveat as clearing browsing data.,mapped,exact,
CISv3 - EDGE - L1 - Clear history for IE and IE mode every time you exit,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Clear history for IE and IE mode every time you exit,settings_catalog_policy,146,CISv3 - EDGE - L1 - Clear history for IE and IE mode every time you exit,Edge,L1,CIS,Privacy & Data Governance,-,-,Only relevant where IE mode is used for legacy line-of-business apps.,mapped,exact,
CISv3 - EDGE - L1 - Compose is enabled for writing on the web,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Compose is enabled for writing on the web,settings_catalog_policy,147,CISv3 - EDGE - L1 - Compose is enabled for writing on the web,Edge,L1,CIS,AI & Data Governance,CM-7,8.9,AI writing assistant - review data flow to the cloud model before deciding per customer.,mapped,exact,
CISv3 - EDGE - L1 - Configure Edge Website Typo Protection,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Configure Edge Website Typo Protection,settings_catalog_policy,126,CISv3 - EDGE - L1 - Configure Edge Website Typo Protection,Edge,L1,CIS,Malware Protection,SI-3,8.7,"Anti-typosquatting protection, Defender-adjacent.",mapped,exact,
CISv3 - EDGE - L1 - Configure InPrivate mode availability,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Configure InPrivate mode availability,settings_catalog_policy,148,CISv3 - EDGE - L1 - Configure InPrivate mode availability,Edge,L1,CIS,Privacy & Data Governance,-,-,Customer preference - disabling aids monitoring but may be seen as restrictive.,mapped,exact,
CISv3 - EDGE - L1 - Configure the list of names that will bypass the HSTS policy check,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Configure the list of names that will bypass the HSTS policy check,settings_catalog_policy,133,CISv3 - EDGE - L1 - Configure the list of names that will bypass the HSTS policy check,Edge,L1,CIS,Network Security,SC-8,8.20,Keep this list empty/restricted to preserve HSTS enforcement.,mapped,exact,
CISv3 - EDGE - L1 - Configure the list of types that are excluded from synchronization,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Configure the list of types that are excluded from synchronization,settings_catalog_policy,177,CISv3 - EDGE - L2 - Configure the list of types that are excluded from synchronization,Edge,L2,CIS,Privacy & Data Governance,-,-,Set per customer preference on what data syncs.,mapped,prefix,
CISv3 - EDGE - L1 - Configure users ability to override feature flags,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Configure users ability to override feature flags,settings_catalog_policy,134,CISv3 - EDGE - L1 - Configure users ability to override feature flags,Edge,L1,CIS,UAC & Privileged Access,CM-7,8.9,Prevents users enabling experimental/unstable features via edge://flags.,mapped,exact,
CISv3 - EDGE - L1 - Continue running background apps after Microsoft Edge closes,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Continue running background apps after Microsoft Edge closes,settings_catalog_policy,135,CISv3 - EDGE - L1 - Continue running background apps after Microsoft Edge closes,Edge,L1,CIS,Attack Surface Reduction (ASR),CM-7,8.9,Reduces persistent background footprint after browser close.,mapped,exact,
CISv3 - EDGE - L1 - Control communication with the Experimentation and Configuration Service,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Control communication with the Experimentation and Configuration Service,settings_catalog_policy,136,CISv3 - EDGE - L1 - Control communication with the Experimentation and Configuration Service,Edge,L1,CIS,Privacy & Data Governance,CM-7,8.9,Limits a telemetry/remote-config channel not needed for business use.,mapped,exact,
CISv3 - EDGE - L1 - Control use of insecure content exceptions,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Control use of insecure content exceptions,settings_catalog_policy,115,CISv3 - EDGE - L1 - Control use of insecure content exceptions,Edge,L1,CIS,Edge Browser Security,SC-8,8.20,Prevents users permanently exempting insecure/mixed content.,mapped,exact,
CISv3 - EDGE - L1 - DNS interception checks enabled,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - DNS interception checks enabled,settings_catalog_policy,116,CISv3 - EDGE - L1 - DNS interception checks enabled,Edge,L1,CIS,Edge Browser Security,"SC-7, SC-8",8.20,Detects DNS hijacking/interception attempts.,mapped,exact,
CISv3 - EDGE - L1 - Disable Bing chat entry-points on Microsoft Edge Enterprise new tab page,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Disable Bing chat entry-points on Microsoft Edge Enterprise new tab page,settings_catalog_policy,142,CISv3 - EDGE - L1 - Disable Bing chat entry-points on Microsoft Edge Enterprise new tab page,Edge,L1,CIS,AI & Data Governance,CM-7,8.9,Reduces AI-chat data-egress surface on the new tab page.,mapped,exact,
CISv3 - EDGE - L1 - Disable synchronization of data using Microsoft sync services,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Disable synchronization of data using Microsoft sync services,settings_catalog_policy,77,CISv3 - EDGE - L1 - Disable synchronization of data using Microsoft sync services,Edge,L1,CIS,Edge Browser Security,CM-7,8.9,Prevents browser data leaving the managed environment — supports ISO 8.9,mapped,exact,
CISv3 - EDGE - L1 - Edge 3P SERP Telemetry Enabled,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Edge 3P SERP Telemetry Enabled,settings_catalog_policy,141,CISv3 - EDGE - L1 - Edge 3P SERP Telemetry Enabled,Edge,L1,CIS,Privacy & Data Governance,CM-7,8.9,Disables third-party search-results telemetry.,mapped,exact,
CISv3 - EDGE - L1 - Enable AutoFill for payment instructions,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Enable AutoFill for payment instructions,settings_catalog_policy,138,CISv3 - EDGE - L1 - Enable AutoFill for payment instructions,Edge,L1,CIS,Privacy & Data Governance,"SC-28, MP-5",8.24,Disabled - storing card data in browser autofill is a real risk on corporate endpoints.,mapped,exact,
CISv3 - EDGE - L1 - Enable CryptoWallet feature,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Enable CryptoWallet feature,settings_catalog_policy,125,CISv3 - EDGE - L1 - Enable CryptoWallet feature,Edge,L1,CIS,Attack Surface Reduction (ASR),CM-7,8.9,Disabled - crypto-wallet browser feature has no business use and is a known malware target.,mapped,exact,
CISv3 - EDGE - L1 - Enable Discover access to page contents for AAD profiles,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Enable Discover access to page contents for AAD profiles,settings_catalog_policy,149,CISv3 - EDGE - L1 - Enable Discover access to page contents for AAD profiles,Edge,L1,CIS,AI & Data Governance,AC-4,8.9,AI feature reading page content under a work identity - review data flow.,mapped,exact,
CISv3 - EDGE - L1 - Enable Google Cast,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Enable Google Cast,settings_catalog_policy,150,CISv3 - EDGE - L1 - Enable Google Cast,Edge,L1,CIS,Network Security,SC-7,8.20,Same network-exposure family as the Cast IP-restriction control.,mapped,exact,
CISv3 - EDGE - L1 - Enable Microsoft Defender SmartScreen DNS requests,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Enable Microsoft Defender SmartScreen DNS requests,settings_catalog_policy,,,,,,,,,,UNMAPPED — no workbook row,unmapped,
CISv3 - EDGE - L1 - Enable browser legacy extension point blocking,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Enable browser legacy extension point blocking,settings_catalog_policy,118,CISv3 - EDGE - L1 - Enable browser legacy extension point blocking,Edge,L1,CIS,Edge Browser Security,SI-7,8.7,Blocks legacy DLL-injection-style extension points into the browser process.,mapped,exact,
CISv3 - EDGE - L1 - Enable component updates in Microsoft Edge,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Enable component updates in Microsoft Edge,settings_catalog_policy,119,CISv3 - EDGE - L1 - Enable component updates in Microsoft Edge,Edge,L1,CIS,Patch Management,SI-2,8.8,Ensures browser components patch independently of full Edge updates.,mapped,exact,
CISv3 - EDGE - L1 - Enable globally scoped HTTP auth cache,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Enable globally scoped HTTP auth cache,settings_catalog_policy,151,CISv3 - EDGE - L1 - Enable globally scoped HTTP auth cache,Edge,L1,CIS,Credential Protection,-,-,Pilot first - disabling can break SSO flows in some environments.,mapped,exact,
CISv3 - EDGE - L1 - Enable profile creation from the Identity flyout menu or the Settings page,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Enable profile creation from the Identity flyout menu or the Settings page,settings_catalog_policy,140,CISv3 - EDGE - L1 - Enable profile creation from the Identity flyout menu or the Settings page,Edge,L1,CIS,Identity & Account Control,AC-4,8.1,Restricts creation of unmanaged personal browser profiles that could bypass policy.,mapped,exact,
CISv3 - EDGE - L1 - Enable saving passwords to the password manager,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Enable saving passwords to the password manager,settings_catalog_policy,139,CISv3 - EDGE - L1 - Enable saving passwords to the password manager,Edge,L1,CIS,Credential Protection,IA-5,8.5,Disabled by default in favour of an enterprise password manager where the customer has one.,mapped,exact,
CISv3 - EDGE - L1 - Enable security warnings for command-line flags,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Enable security warnings for command-line flags,settings_catalog_policy,120,CISv3 - EDGE - L1 - Enable security warnings for command-line flags,Edge,L1,CIS,Edge Browser Security,SI-7,8.7,Flags tampered launch shortcuts using risky command-line flags.,mapped,exact,
CISv3 - EDGE - L1 - Enable warnings for insecure forms,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Enable warnings for insecure forms,settings_catalog_policy,121,CISv3 - EDGE - L1 - Enable warnings for insecure forms,Edge,L1,CIS,Edge Browser Security,SC-8,8.20,Warns on mixed-content form submission - non-disruptive.,mapped,exact,
CISv3 - EDGE - L1 - In-app support Enabled,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - In-app support Enabled,settings_catalog_policy,152,CISv3 - EDGE - L1 - In-app support Enabled,Edge,L1,CIS,Privacy & Data Governance,-,-,Support-chat widget sends data out - minor consideration.,mapped,exact,
CISv3 - EDGE - L1 - Manage exposure of local IP addresses by WebRTC,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Manage exposure of local IP addresses by WebRTC,settings_catalog_policy,122,CISv3 - EDGE - L1 - Manage exposure of local IP addresses by WebRTC,Edge,L1,CIS,Edge Browser Security,SC-7,8.20,Standard WebRTC local-IP-leak hardening.,mapped,exact,
CISv3 - EDGE - L1 - Show Microsoft Rewards experiences,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Show Microsoft Rewards experiences,settings_catalog_policy,153,CISv3 - EDGE - L1 - Show Microsoft Rewards experiences,Edge,L1,CIS,Attack Surface Reduction (ASR),CM-7,8.9,Disabled - consumer feature with no business relevance.,mapped,exact,
CISv3 - EDGE - L1 - Suggest similar pages when a webpage can#U2019t be found,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Suggest similar pages when a webpage can’t be found,settings_catalog_policy,154,CISv3 - EDGE - L1 - Suggest similar pages when a webpage can't be found,Edge,L1,CIS,Privacy & Data Governance,-,-,Sends failed URLs to Microsoft - minor telemetry consideration.,mapped,punctuation,
CISv3 - EDGE - L1 - Update policy override default,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L1 - Update policy override default,settings_catalog_policy,123,CISv3 - EDGE - L1 - Update policy override default,Edge,L1,CIS,Patch Management,"CM-6, SI-2",8.8,Prevents update policy from being silently overridden.,mapped,exact,
CISv3 - EDGE - L2 - Allow file selection dialogs,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Allow file selection dialogs,settings_catalog_policy,176,CISv3 - EDGE - L2 - Allow file selection dialogs,Edge,L2,CIS,Privacy & Data Governance,-,-,Minor DLP-adjacent control on file-upload dialogs.,mapped,exact,
CISv3 - EDGE - L2 - Allow or block audio capture,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Allow or block audio capture,settings_catalog_policy,164,CISv3 - EDGE - L2 - Allow or block audio capture,Edge,L2,CIS,Privacy & Data Governance,SC-3,8.7,Camera/mic permission governance - DLP relevant.,mapped,exact,
CISv3 - EDGE - L2 - Allow or deny screen capture,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Allow or deny screen capture,settings_catalog_policy,165,CISv3 - EDGE - L2 - Allow or deny screen capture,Edge,L2,CIS,Privacy & Data Governance,SC-3,8.7,"Screen-capture governance, increasingly relevant alongside AI features that can screenshot pages.",mapped,exact,
CISv3 - EDGE - L2 - Allow read access via the File System API on  these sites,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Allow read access via the File System API on  these sites,settings_catalog_policy,166,CISv3 - EDGE - L2 - Allow read access via the File System API on these sites,Edge,L2,CIS,Malware Protection,CM-7,8.9,"Default-restrict, allow-list only trusted sites.",mapped,whitespace,
CISv3 - EDGE - L2 - Allow unconfigured sites to be reloaded in  Internet Explorer mode,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Allow unconfigured sites to be reloaded in  Internet Explorer mode,settings_catalog_policy,167,CISv3 - EDGE - L2 - Allow unconfigured sites to be reloaded in Internet Explorer mode,Edge,L2,CIS,Malware Protection,SI-7,8.7,Disable the catch-all - limits reintroduction of IE-mode attack surface to explicitly configured sites only.,mapped,whitespace,
CISv3 - EDGE - L2 - Allow users to open files using the ClickOnce  protocol,11_Microsoft_Edge_CIS_Benchmark,CISv3 - EDGE - L2 - Allow users to open files using the ClickOnce  protocol,settings_catalog_policy,80,CISv3 - EDGE - L2 - Allow users to open files using the ClickOnce  protocol,Edge,L2,CIS,Edge Browser Security,"CM-7, CM-11",8.9,ClickOnce is a legacy attack surface — most modern businesses are unaffected by disabling it,mapped,exact,
